id,parent_type,parent_id,title,body,emoji,section_path,sort_order,created_at
INFO_0005,project,PROJ_0004,Next steps,Next steps,ℹ️,,170,2026-08-29 15:48:39
INFO_0006,project,PROJ_0004,Plan,Plan,ℹ️,,190,2026-08-29 15:48:39
INFO_0016,task,TASK_0011,Contribution Goals,"Contribution Goals
0 - Não atingido
1 - Parcialmente atingido
2 - Totalmente atingido
Data Insights - meta individual
0 – Não atingido
Análise superficial ou ad hoc das transcrições, sem método definido
Insights genéricos, sem conexão clara com problemas reais da operação
Ausência de direcionamento consistente de solução
1 – Parcialmente atingido
Análise estruturada inicial das transcrições, com identificação de padrões
Insights relevantes identificados, com priorização ainda limitada ou pouco embasada
Direcionamento de solução definido, porém sem detalhamento claro ou tangibilização
2 – Totalmente atingido
Análise estruturada e consistente, com identificação clara de padrões, dores e oportunidades
Insights priorizados com base em impacto e recorrência, conectados ao negócio
Proposta de solução bem definida (QMAI ou nova), com conceito, proposta de valor e próximos passos claros
Protótipos das telas desenvolvidos, representando a solução proposta
Sempre que possível, implementação inicial (piloto/MVP) realizada para validação da solução",ℹ️,"Tasks/Checar esta meta, se precisamos revisar",420,2026-08-29 15:48:39
INFO_0022,project,PROJ_0011,BPM Backlog.md,BPM Backlog.md,ℹ️,,550,2026-08-29 15:48:39
INFO_0028,project,PROJ_0012,Nadja vai involver o Rafael para entender quando seria um momento interessante,Nadja vai involver o Rafael para entender quando seria um momento interessante,ℹ️,,630,2026-08-29 15:48:39
INFO_0031,task,TASK_0017,Wait to get in touch with Rafael.,Wait to get in touch with Rafael.,ℹ️,Projects/Business Model,710,2026-08-29 15:48:39
INFO_0034,task,TASK_0025,Canal para troca se experiências,Canal para troca se experiências,ℹ️,Projects/Communication Plan/TEAMS group,840,2026-08-29 15:48:39
INFO_0045,task,TASK_0032,Do this after 09.03,Do this after 09.03,ℹ️,Projects/Parte 2 – N8N,1030,2026-08-29 15:48:39
INFO_0046,task,TASK_0032,We need to inform that there are no costs on the sandbox.,We need to inform that there are no costs on the sandbox.,ℹ️,Projects/Parte 2 – N8N,1040,2026-08-29 15:48:39
INFO_0047,task,TASK_0032,Docupedia - https://inside-docupedia.bosch.com/confluence2/n8n/n8n-enterprise-for-bosch-549180801.html,Docupedia - https://inside-docupedia.bosch.com/confluence2/n8n/n8n-enterprise-for-bosch-549180801.html,ℹ️,Projects/Parte 2 – N8N,1050,2026-08-29 15:48:39
INFO_0048,task,TASK_0032,Solicitação de Acesso - https://go.n8n.bosch.com/,Solicitação de Acesso - https://go.n8n.bosch.com/,ℹ️,Projects/Parte 2 – N8N,1060,2026-08-29 15:48:39
INFO_0049,task,TASK_0032,Plataforma - https://i1-s.n8n.bosch.com/,Plataforma - https://i1-s.n8n.bosch.com/,ℹ️,Projects/Parte 2 – N8N,1070,2026-08-29 15:48:39
INFO_0050,task,TASK_0032,E-mail:,E-mail:,ℹ️,Projects/Parte 2 – N8N,1080,2026-08-29 15:48:39
